student_id,attendance,cgpa,aptitude_score,coding_score,communication_score,mock_exam_score,backlogs,career_interest,placement_status,exam_selected
S00760,95,6.34,69,21,8,20,0,AI Researcher,Not Placed,No exam
S00761,94,5.49,72,24,43,20,1,Business Analyst,Not Placed,RRB-NTPC
S00762,81,7.03,92,36,85,41,0,Business Analyst,In Progress,CAT
S00763,66,6.22,94,61,30,55,5,Software Engineer,Not Placed,SkillsCert
S00764,81,8.15,72,42,28,7,0,Cloud Engineer,Not Placed,No exam
S00765,81,8.55,2,88,4,65,0,Data Scientist,In Progress,No exam
S00766,64,8.86,77,87,27,32,0,Cloud Engineer,In Progress,GRE
S00767,94,8.71,84,75,1,37,1,Cybersecurity,Not Placed,CAT
S00768,79,9.5,99,91,40,65,0,Business Analyst,Placed,RRB-NTPC
S00769,66,5.83,31,80,91,79,3,Software Engineer,Placed,RRB-NTPC
S00770,92,5.87,98,70,26,21,0,Cybersecurity,Not Placed,GATE
S00771,84,7.8,69,26,77,68,0,AI Researcher,In Progress,GRE
S00772,76,7.2,53,6,10,50,0,Business Analyst,Not Placed,GRE
S00773,76,9.66,21,53,54,8,0,Data Scientist,In Progress,RRB-NTPC
S00774,90,7.35,21,8,66,23,0,Cybersecurity,Not Placed,GRE
S00775,90,8.71,54,39,78,84,1,Cybersecurity,In Progress,No exam
S00776,72,7.18,55,47,39,49,1,Cloud Engineer,Not Placed,SkillsCert
S00777,97,7.84,16,27,89,42,1,Cybersecurity,In Progress,CAT
S00778,87,7.48,17,63,90,60,0,Business Analyst,Placed,RRB-NTPC
S00779,81,8.55,65,43,21,9,1,Cloud Engineer,Not Placed,No exam
S00780,67,6.3,49,45,19,83,3,Data Scientist,Not Placed,No exam
S00781,94,7.76,14,12,24,66,1,Data Scientist,Not Placed,GRE
S00782,74,6.35,40,58,31,82,0,AI Researcher,Not Placed,GRE
S00783,92,7.35,68,45,8,17,1,Cybersecurity,Not Placed,SkillsCert
S00784,65,9.76,13,60,10,4,1,Software Engineer,In Progress,SkillsCert
S00785,89,7.12,84,32,50,41,0,Business Analyst,Not Placed,No exam
S00786,74,6.22,45,7,30,35,1,Cloud Engineer,Not Placed,SkillsCert
S00787,67,6.68,59,100,66,63,0,Data Scientist,Placed,No exam
S00788,70,6.07,88,25,53,93,1,Cybersecurity,Not Placed,GRE
S00789,75,6.07,52,86,42,68,0,Software Engineer,In Progress,No exam
S00790,94,8.45,74,28,80,63,1,Cloud Engineer,In Progress,GATE
S00791,73,7.04,19,18,43,1,1,AI Researcher,Not Placed,SkillsCert
S00792,84,7.68,94,60,50,92,0,Software Engineer,In Progress,GATE
S00793,61,7.29,7,24,37,5,1,Cloud Engineer,Not Placed,GATE
S00794,70,8.68,91,76,51,40,1,Software Engineer,In Progress,GRE
S00795,78,5.52,55,68,14,76,1,Cloud Engineer,Not Placed,No exam
S00796,86,9.89,96,47,20,97,1,Data Scientist,In Progress,CAT
S00797,86,7.59,65,82,91,87,0,Business Analyst,Placed,CAT
S00798,91,8.87,20,4,3,38,1,Software Engineer,Not Placed,CAT
S00799,84,8.98,31,83,59,54,0,AI Researcher,Placed,GATE
S00800,98,6.78,5,15,40,12,0,Business Analyst,Not Placed,RRB-NTPC
S00801,74,7.57,82,26,33,36,0,Software Engineer,Not Placed,No exam
S00802,93,5.82,60,30,66,17,0,Cybersecurity,Not Placed,GRE
S00803,71,9.82,4,94,81,6,0,Cloud Engineer,Placed,SkillsCert
S00804,79,5.88,79,49,42,21,1,Data Scientist,Not Placed,SkillsCert
S00805,68,5.67,41,59,17,30,3,Cloud Engineer,Not Placed,GATE
S00806,84,6.67,21,6,53,86,0,Business Analyst,Not Placed,CAT
S00807,99,6.48,57,99,23,90,1,Business Analyst,In Progress,GRE
S00808,67,6.97,89,25,80,96,1,Cybersecurity,In Progress,CAT
S00809,94,7.6,95,1,47,97,0,Business Analyst,Not Placed,CAT
S00810,76,8.97,8,75,5,7,0,Data Scientist,In Progress,CAT
S00811,82,9.82,76,24,63,90,1,Cloud Engineer,In Progress,GRE
S00812,77,8.48,78,31,82,9,0,Business Analyst,In Progress,No exam
S00813,69,7.21,44,1,79,36,1,Software Engineer,Not Placed,CAT
S00814,99,8.84,6,57,70,84,1,Cybersecurity,In Progress,GRE
S00815,76,7.05,34,37,0,12,1,AI Researcher,Not Placed,GRE
S00816,86,9.3,1,78,26,86,1,Cybersecurity,In Progress,GATE
S00817,86,8.35,62,75,37,18,1,Cybersecurity,In Progress,No exam
S00818,84,7.37,67,74,5,18,0,Data Scientist,Not Placed,RRB-NTPC
S00819,73,9.82,98,66,10,24,1,Software Engineer,In Progress,GRE
S00820,95,5.33,47,77,43,10,0,Data Scientist,In Progress,SkillsCert
S00821,74,9.03,21,28,19,16,1,Software Engineer,Not Placed,SkillsCert
S00822,76,5.39,56,3,93,63,1,Cybersecurity,Not Placed,No exam
S00823,72,7.52,34,91,53,36,0,Data Scientist,In Progress,SkillsCert
S00824,65,9.86,64,5,91,94,1,Data Scientist,In Progress,RRB-NTPC
S00825,70,7.67,78,55,3,95,1,AI Researcher,Not Placed,GATE
S00826,85,9.57,70,50,68,18,0,AI Researcher,In Progress,GATE
S00827,65,7.89,77,69,12,32,1,Cybersecurity,Not Placed,RRB-NTPC
S00828,93,8.49,88,83,68,99,1,Data Scientist,Placed,CAT
S00829,60,8.42,89,61,62,33,0,Software Engineer,In Progress,SkillsCert
S00830,87,8.15,48,27,97,80,1,Cloud Engineer,In Progress,SkillsCert
S00831,81,6.03,49,52,34,93,1,Software Engineer,Not Placed,GATE
S00832,94,5.52,56,67,22,58,0,AI Researcher,Not Placed,GATE
S00833,69,5.25,18,67,73,97,5,Software Engineer,In Progress,RRB-NTPC
S00834,88,6.28,24,12,49,73,1,Business Analyst,Not Placed,RRB-NTPC
S00835,86,5.55,93,45,61,98,0,Cloud Engineer,Not Placed,RRB-NTPC
S00836,86,6.34,41,30,51,82,1,AI Researcher,Not Placed,CAT
S00837,76,5.67,70,52,30,76,1,Data Scientist,Not Placed,GRE
S00838,76,9.64,52,75,60,11,0,Cloud Engineer,Placed,CAT
S00839,80,9.17,88,16,4,47,0,Software Engineer,Not Placed,GRE
S00840,71,5.38,26,51,46,16,0,Business Analyst,Not Placed,GATE
S00841,83,9.63,2,21,55,79,0,Data Scientist,In Progress,CAT
S00842,98,6.58,71,19,57,32,0,AI Researcher,Not Placed,No exam
S00843,88,8.22,36,63,15,70,0,Data Scientist,Not Placed,GRE
S00844,85,8.43,77,5,62,88,1,Software Engineer,Not Placed,RRB-NTPC
S00845,95,9.04,4,67,97,73,1,Data Scientist,Placed,RRB-NTPC
S00846,82,7.67,100,73,55,90,1,Cloud Engineer,In Progress,GRE
S00847,61,7.8,42,71,9,38,0,Cloud Engineer,Not Placed,CAT
S00848,78,5.18,26,52,8,1,1,Data Scientist,Not Placed,GATE
S00849,61,9.35,81,71,1,59,1,Data Scientist,In Progress,RRB-NTPC
S00850,71,5.27,47,54,24,63,1,Software Engineer,Not Placed,SkillsCert
S00851,65,5.54,18,54,50,38,2,Cybersecurity,Not Placed,CAT
S00852,91,8.33,58,64,94,45,0,AI Researcher,Placed,CAT
S00853,76,9.28,93,46,41,66,1,Data Scientist,In Progress,SkillsCert
S00854,89,6.79,0,34,28,64,1,Cybersecurity,Not Placed,CAT
S00855,96,9.0,16,82,64,11,1,AI Researcher,Placed,No exam
S00856,98,8.1,5,0,58,45,1,Business Analyst,Not Placed,GATE
S00857,78,7.97,94,58,2,64,0,AI Researcher,Not Placed,GATE
S00858,89,6.22,38,6,42,3,0,AI Researcher,Not Placed,RRB-NTPC
S00859,91,6.16,83,74,31,74,0,Cybersecurity,In Progress,No exam
S00860,86,5.46,10,76,31,42,0,Cloud Engineer,Not Placed,SkillsCert
S00861,71,7.82,64,16,78,61,1,AI Researcher,In Progress,RRB-NTPC
S00862,69,7.83,29,73,16,76,0,Business Analyst,In Progress,RRB-NTPC
S00863,79,5.37,48,97,99,38,0,AI Researcher,Placed,GATE
S00864,86,7.32,49,78,61,36,0,Cloud Engineer,In Progress,No exam
S00865,94,6.74,86,21,27,29,0,AI Researcher,Not Placed,RRB-NTPC
S00866,83,7.09,32,55,87,36,0,Business Analyst,In Progress,CAT
S00867,77,8.89,83,55,23,29,1,AI Researcher,In Progress,GRE
S00868,96,8.33,98,73,68,91,1,AI Researcher,In Progress,GRE
S00869,79,8.16,90,67,1,20,0,Cloud Engineer,Not Placed,RRB-NTPC
S00870,73,8.82,56,25,61,30,0,Business Analyst,In Progress,GATE
S00871,90,8.21,49,17,57,49,1,Software Engineer,Not Placed,GRE
S00872,93,9.65,12,62,45,5,1,Cloud Engineer,In Progress,CAT
S00873,71,6.59,37,12,35,81,1,Cybersecurity,Not Placed,RRB-NTPC
S00874,89,9.91,75,88,90,94,0,AI Researcher,Placed,GRE
S00875,71,6.07,58,64,99,97,1,Data Scientist,In Progress,GRE
S00876,99,5.27,18,44,30,76,1,Data Scientist,Not Placed,No exam
S00877,89,9.75,6,31,12,47,1,Cybersecurity,Not Placed,GRE
S00878,91,8.08,61,5,89,20,0,Software Engineer,In Progress,GRE
S00879,89,5.85,23,29,59,28,1,Business Analyst,Not Placed,RRB-NTPC
S00880,90,5.11,34,83,7,52,0,Software Engineer,Not Placed,CAT
S00881,69,9.07,58,36,43,91,1,Cloud Engineer,In Progress,RRB-NTPC
S00882,77,7.47,59,98,36,52,1,AI Researcher,In Progress,SkillsCert
S00883,85,7.41,12,55,48,4,1,Cybersecurity,In Progress,RRB-NTPC
S00884,67,5.62,73,60,19,15,5,Cloud Engineer,Not Placed,RRB-NTPC
S00885,98,7.78,48,64,82,34,1,Cloud Engineer,In Progress,GRE
S00886,93,5.47,60,73,3,41,0,Cloud Engineer,Not Placed,GATE
S00887,89,7.94,74,56,97,64,0,Business Analyst,Placed,No exam
S00888,64,8.3,89,58,84,7,1,Business Analyst,In Progress,GRE
S00889,63,9.39,1,94,50,48,1,AI Researcher,Placed,RRB-NTPC
S00890,60,5.79,49,52,22,31,3,Software Engineer,Not Placed,GRE
S00891,87,9.83,69,49,71,7,1,AI Researcher,In Progress,RRB-NTPC
S00892,88,7.36,12,70,65,41,1,Cloud Engineer,In Progress,RRB-NTPC
S00893,73,7.81,59,61,90,57,1,Cloud Engineer,Placed,GATE
S00894,83,7.39,49,12,7,64,1,Cybersecurity,Not Placed,RRB-NTPC
S00895,91,8.49,90,87,66,94,0,AI Researcher,Placed,GRE
S00896,67,7.26,89,60,6,10,0,Cloud Engineer,Not Placed,CAT
S00897,63,9.14,32,8,70,28,0,Data Scientist,In Progress,RRB-NTPC
S00898,62,9.5,89,2,35,77,1,Cybersecurity,Not Placed,GRE
S00899,78,8.54,1,68,57,0,1,Cloud Engineer,In Progress,No exam
S00900,79,9.39,27,0,66,30,0,AI Researcher,Not Placed,GRE
S00901,82,5.07,65,40,49,33,0,Cybersecurity,Not Placed,No exam
S00902,69,5.01,54,25,71,54,5,Data Scientist,Not Placed,GRE
S00903,97,6.32,0,29,46,1,1,Cybersecurity,Not Placed,SkillsCert
S00904,67,6.98,15,64,39,7,1,Cybersecurity,In Progress,CAT
S00905,83,8.88,80,49,96,61,1,Cybersecurity,Placed,RRB-NTPC
S00906,92,6.39,13,79,14,49,0,Business Analyst,Not Placed,CAT
S00907,91,7.17,53,10,0,44,0,Cloud Engineer,Not Placed,No exam
S00908,80,6.95,73,7,81,36,1,Cybersecurity,Not Placed,GATE
S00909,100,6.56,81,38,85,17,1,Data Scientist,In Progress,GATE
S00910,93,5.76,69,73,45,9,1,Cybersecurity,In Progress,No exam
S00911,92,5.75,18,40,88,41,1,Cybersecurity,In Progress,GATE
S00912,96,8.86,94,40,38,3,1,Cybersecurity,In Progress,CAT
S00913,74,9.61,1,32,27,41,1,Business Analyst,Not Placed,CAT
S00914,83,8.15,68,72,10,6,1,Cloud Engineer,Not Placed,No exam
S00915,65,8.11,28,42,98,30,1,Cybersecurity,In Progress,GRE
S00916,96,6.67,22,21,88,34,1,AI Researcher,In Progress,GRE
S00917,100,8.08,60,4,61,10,1,Software Engineer,Not Placed,RRB-NTPC
S00918,63,5.3,66,39,41,99,4,Business Analyst,Not Placed,RRB-NTPC
S00919,98,6.06,40,32,98,23,0,Data Scientist,In Progress,RRB-NTPC
S00920,82,8.26,20,85,75,78,0,Software Engineer,Placed,SkillsCert
S00921,90,7.88,69,20,47,29,1,AI Researcher,Not Placed,No exam
S00922,98,8.48,96,28,100,1,1,Data Scientist,In Progress,GRE
S00923,85,7.92,71,57,1,21,0,Data Scientist,Not Placed,GRE
S00924,69,6.73,89,69,68,77,0,Business Analyst,In Progress,GRE
S00925,93,7.48,82,40,8,78,0,Cloud Engineer,Not Placed,No exam
S00926,84,5.04,38,75,99,83,1,Cloud Engineer,In Progress,CAT
S00927,64,7.76,36,44,80,70,1,Cybersecurity,In Progress,SkillsCert
S00928,74,7.37,7,38,70,39,1,Business Analyst,In Progress,SkillsCert
S00929,96,7.18,70,83,80,62,1,Software Engineer,Placed,GATE
S00930,90,8.24,49,45,52,88,0,AI Researcher,In Progress,RRB-NTPC
S00931,97,9.87,88,41,52,19,1,Business Analyst,In Progress,CAT
S00932,62,8.33,28,40,20,93,1,Cybersecurity,Not Placed,GATE
S00933,79,9.16,31,82,39,45,0,Data Scientist,In Progress,GRE
S00934,76,9.49,14,98,76,24,0,Cybersecurity,Placed,GATE
S00935,84,5.61,95,45,56,48,1,Cybersecurity,Not Placed,GATE
S00936,72,6.31,30,46,22,3,1,AI Researcher,Not Placed,GATE
S00937,76,8.2,16,51,44,67,1,Software Engineer,In Progress,SkillsCert
S00938,63,8.9,100,77,52,23,0,Cloud Engineer,In Progress,GRE
S00939,92,9.76,31,46,95,68,0,Software Engineer,Placed,GRE
S00940,77,5.05,60,4,47,4,0,Cybersecurity,Not Placed,GATE
S00941,93,7.97,72,87,15,43,0,Data Scientist,In Progress,GRE
S00942,84,6.04,0,53,88,43,0,Data Scientist,In Progress,GRE
S00943,82,9.7,86,56,71,61,1,Business Analyst,In Progress,SkillsCert
S00944,97,7.81,87,12,6,7,1,Cloud Engineer,Not Placed,SkillsCert
S00945,87,7.17,75,56,92,3,1,Software Engineer,In Progress,GRE
S00946,82,9.27,55,64,24,6,1,Business Analyst,In Progress,GRE
S00947,79,7.25,33,4,97,80,0,Cloud Engineer,In Progress,CAT
S00948,70,8.17,83,96,91,64,0,Business Analyst,Placed,GRE
S00949,61,8.34,87,36,31,41,0,AI Researcher,Not Placed,No exam
S00950,84,9.46,95,1,53,54,0,Cloud Engineer,Not Placed,No exam
S00951,69,6.37,71,90,57,58,3,Data Scientist,In Progress,No exam
S00952,72,7.73,72,2,23,52,1,Software Engineer,Not Placed,CAT
S00953,93,6.03,56,53,9,59,0,Cybersecurity,Not Placed,CAT
S00954,67,9.2,29,42,74,7,1,Software Engineer,In Progress,CAT
S00955,82,5.53,29,97,43,19,1,Data Scientist,In Progress,SkillsCert
S00956,81,6.55,2,41,54,93,1,Cybersecurity,Not Placed,SkillsCert
S00957,80,7.74,36,48,36,4,0,AI Researcher,Not Placed,RRB-NTPC
S00958,94,7.32,87,17,47,15,0,Cybersecurity,Not Placed,RRB-NTPC
S00959,78,8.65,56,62,94,25,1,Business Analyst,Placed,RRB-NTPC
S00960,80,7.46,47,57,81,69,0,Business Analyst,In Progress,GATE
S00961,74,5.5,81,83,48,36,1,Business Analyst,In Progress,SkillsCert
S00962,62,7.57,97,37,100,41,0,Cloud Engineer,In Progress,GRE
S00963,65,5.02,13,14,14,81,4,Software Engineer,Not Placed,GRE
S00964,65,8.66,86,54,90,30,1,Data Scientist,Placed,GRE
S00965,84,7.59,55,14,36,85,1,Cybersecurity,Not Placed,SkillsCert
S00966,85,7.22,17,85,44,33,0,Software Engineer,In Progress,GATE
S00967,68,5.78,24,30,98,31,2,Business Analyst,In Progress,CAT
S00968,93,6.86,61,63,87,21,1,Business Analyst,In Progress,CAT
S00969,77,5.57,100,29,78,67,1,Business Analyst,Not Placed,SkillsCert
S00970,75,8.19,53,83,34,79,1,Cybersecurity,In Progress,GATE
S00971,85,9.64,44,17,64,18,1,Data Scientist,In Progress,GATE
S00972,77,8.58,49,34,88,61,0,Cloud Engineer,In Progress,GATE
S00973,61,6.3,32,55,97,71,5,Software Engineer,In Progress,SkillsCert
S00974,60,9.36,90,34,89,75,0,AI Researcher,In Progress,SkillsCert
S00975,96,7.12,97,99,21,80,1,Data Scientist,In Progress,RRB-NTPC
S00976,61,6.31,71,12,99,62,4,Cloud Engineer,In Progress,CAT
S00977,93,6.59,47,46,54,89,0,Data Scientist,In Progress,GATE
S00978,64,9.78,79,100,18,77,0,Cybersecurity,In Progress,No exam
S00979,88,6.16,63,78,34,10,0,Data Scientist,In Progress,SkillsCert
S00980,73,7.93,1,90,58,26,1,Cloud Engineer,Placed,No exam
S00981,97,6.01,13,15,41,45,1,Data Scientist,Not Placed,GATE
S00982,77,9.49,81,42,72,12,1,Software Engineer,In Progress,SkillsCert
S00983,83,5.72,85,87,31,22,0,Cloud Engineer,In Progress,GRE
S00984,91,9.17,28,63,69,30,0,Business Analyst,In Progress,SkillsCert
S00985,98,9.62,58,84,8,69,1,Business Analyst,In Progress,RRB-NTPC
S00986,63,6.56,2,18,48,17,0,Cloud Engineer,Not Placed,No exam
S00987,96,8.55,63,58,89,99,0,Business Analyst,Placed,GATE
S00988,95,6.01,100,76,38,65,1,Business Analyst,In Progress,CAT
S00989,86,6.09,56,7,72,19,1,AI Researcher,Not Placed,GRE
S00990,62,8.96,18,4,29,18,0,Cybersecurity,Not Placed,CAT
S00991,82,7.2,28,50,78,54,1,Business Analyst,In Progress,GRE
S00992,84,9.23,64,80,4,7,0,Software Engineer,In Progress,GATE
S00993,84,5.43,21,67,77,94,1,Data Scientist,In Progress,No exam
S00994,77,6.61,2,58,87,19,0,Software Engineer,In Progress,No exam
S00995,80,8.38,83,2,85,33,1,Data Scientist,In Progress,No exam
S00996,64,8.8,50,27,44,14,0,Software Engineer,Not Placed,GRE
S00997,71,6.54,32,49,75,85,0,AI Researcher,In Progress,RRB-NTPC
S00998,90,8.83,50,70,97,46,0,Software Engineer,Placed,GATE
S00999,67,7.63,42,3,36,14,1,Software Engineer,Not Placed,GRE
S01000,81,6.2,30,22,13,64,1,Software Engineer,Not Placed,SkillsCert
S01001,69,8.92,23,45,76,96,0,Cloud Engineer,In Progress,No exam
S01002,62,5.09,64,18,61,48,5,AI Researcher,Not Placed,RRB-NTPC
S01003,68,7.21,42,66,19,84,1,Data Scientist,Not Placed,GATE
S01004,66,7.25,59,82,79,80,1,AI Researcher,Placed,SkillsCert
S01005,83,9.63,45,81,27,46,1,Software Engineer,In Progress,SkillsCert
S01006,68,9.91,58,54,72,36,1,Cloud Engineer,Placed,No exam
S01007,95,8.41,38,78,60,76,0,Business Analyst,In Progress,CAT
S01008,83,7.87,78,0,80,9,1,Cybersecurity,Not Placed,GATE
S01009,91,9.74,99,94,37,28,0,Data Scientist,Placed,GATE
S01010,68,6.33,30,48,64,57,2,Data Scientist,In Progress,GATE
S01011,95,7.67,21,7,67,46,1,Software Engineer,Not Placed,CAT
S01012,93,9.14,68,51,86,45,0,AI Researcher,Placed,No exam
S01013,61,9.35,58,14,13,42,1,AI Researcher,Not Placed,RRB-NTPC
S01014,94,5.28,75,12,13,81,0,Cloud Engineer,Not Placed,GRE
S01015,68,6.04,78,71,99,2,5,Business Analyst,Placed,RRB-NTPC
S01016,68,6.69,45,53,60,49,1,Business Analyst,In Progress,RRB-NTPC
S01017,99,7.65,45,27,38,53,1,Business Analyst,Not Placed,GATE
S01018,86,7.17,42,20,21,57,1,Data Scientist,Not Placed,GRE
S01019,66,5.19,88,20,56,53,2,Data Scientist,Not Placed,GRE
S01020,78,6.15,1,67,23,24,0,Cybersecurity,Not Placed,GRE
S01021,100,7.52,31,45,73,12,1,Software Engineer,In Progress,No exam
S01022,96,6.98,21,37,20,71,0,AI Researcher,Not Placed,No exam
S01023,88,5.95,11,32,90,97,0,Software Engineer,In Progress,GRE
S01024,63,8.75,100,99,15,87,0,Business Analyst,In Progress,GRE
S01025,83,6.9,73,48,2,89,1,AI Researcher,Not Placed,GRE
S01026,61,6.42,43,69,82,47,4,Business Analyst,In Progress,GATE
S01027,85,6.94,73,50,66,58,0,Software Engineer,In Progress,RRB-NTPC
S01028,79,8.91,18,63,30,47,0,Data Scientist,In Progress,GATE
S01029,95,8.38,57,21,15,26,1,Data Scientist,Not Placed,No exam
S01030,63,9.48,42,91,7,33,1,Cybersecurity,In Progress,CAT
S01031,75,6.29,73,44,47,11,0,AI Researcher,Not Placed,SkillsCert
S01032,100,9.59,37,58,29,84,1,Cloud Engineer,In Progress,GATE
S01033,70,7.88,30,44,82,98,1,Business Analyst,In Progress,RRB-NTPC
S01034,70,5.12,45,21,65,96,0,Business Analyst,Not Placed,GATE
S01035,60,6.48,89,24,1,5,4,Cloud Engineer,Not Placed,CAT
S01036,66,6.94,91,62,89,12,0,AI Researcher,In Progress,SkillsCert
S01037,82,5.77,76,17,49,24,1,Data Scientist,Not Placed,No exam
S01038,93,8.62,11,4,8,59,0,Cybersecurity,Not Placed,GRE
S01039,69,6.19,39,49,51,39,4,Software Engineer,Not Placed,No exam
S01040,72,5.75,84,79,20,15,1,Cybersecurity,Not Placed,CAT
S01041,75,7.33,65,43,33,45,0,Business Analyst,Not Placed,CAT
S01042,82,9.71,100,1,25,28,1,AI Researcher,Not Placed,GRE
S01043,61,8.29,59,34,88,56,1,Cloud Engineer,In Progress,No exam
S01044,63,6.86,11,58,91,77,0,Data Scientist,In Progress,GATE
S01045,64,6.38,16,75,95,51,4,Cloud Engineer,Placed,CAT
S01046,82,5.32,81,78,22,82,0,Business Analyst,Not Placed,SkillsCert
S01047,95,7.61,72,39,46,37,0,Software Engineer,Not Placed,No exam
S01048,63,6.72,40,33,45,85,1,Cloud Engineer,Not Placed,GATE
S01049,99,7.2,66,8,5,15,1,Business Analyst,Not Placed,SkillsCert
S01050,78,5.12,36,42,64,84,0,AI Researcher,Not Placed,SkillsCert
S01051,79,8.2,21,69,28,41,0,Business Analyst,In Progress,GATE
S01052,75,5.27,90,69,37,78,0,Business Analyst,Not Placed,CAT
S01053,87,8.36,100,63,92,45,1,Business Analyst,Placed,GRE
S01054,79,6.36,49,6,38,19,0,Cybersecurity,Not Placed,CAT
S01055,85,9.45,32,59,12,20,1,Data Scientist,In Progress,GRE
S01056,95,5.7,91,84,30,96,0,AI Researcher,In Progress,CAT
S01057,100,6.64,81,53,43,61,1,AI Researcher,Not Placed,CAT
S01058,60,6.62,77,40,36,71,0,Cloud Engineer,Not Placed,CAT
S01059,67,8.36,15,52,65,86,1,Cloud Engineer,In Progress,GATE
S01060,75,5.31,91,42,18,61,1,Business Analyst,Not Placed,No exam
S01061,70,6.43,37,24,48,62,1,Data Scientist,Not Placed,CAT
S01062,65,7.88,69,3,77,73,1,Data Scientist,Not Placed,SkillsCert
S01063,80,7.23,38,3,62,91,0,Data Scientist,Not Placed,SkillsCert
S01064,70,5.6,90,67,29,34,1,AI Researcher,Not Placed,SkillsCert
S01065,77,7.39,15,1,88,96,0,Cybersecurity,Not Placed,GATE
S01066,63,9.47,29,63,65,100,1,Data Scientist,In Progress,GATE
S01067,76,7.08,2,41,68,21,0,Software Engineer,In Progress,RRB-NTPC
S01068,61,8.38,12,4,51,93,1,Data Scientist,Not Placed,GRE
S01069,81,6.97,14,41,100,57,1,Business Analyst,In Progress,GRE
S01070,80,5.69,48,4,95,35,1,Business Analyst,Not Placed,SkillsCert
S01071,65,5.31,94,62,29,99,5,AI Researcher,Not Placed,SkillsCert
S01072,95,6.25,9,14,51,84,0,Software Engineer,Not Placed,GRE
S01073,92,6.75,15,77,74,15,1,Cloud Engineer,In Progress,GRE
S01074,74,9.58,89,73,49,74,0,Software Engineer,In Progress,GRE
S01075,85,8.47,97,34,97,35,1,Cybersecurity,In Progress,No exam
S01076,64,6.8,86,71,2,1,1,Cybersecurity,Not Placed,RRB-NTPC
S01077,69,9.86,15,40,3,44,1,AI Researcher,Not Placed,CAT
S01078,75,8.57,99,67,97,83,0,Data Scientist,Placed,SkillsCert
S01079,72,6.72,19,39,92,98,1,AI Researcher,In Progress,CAT
S01080,71,9.18,75,92,11,80,0,Cloud Engineer,In Progress,RRB-NTPC
S01081,90,5.1,30,42,93,71,0,Cybersecurity,In Progress,RRB-NTPC
S01082,83,7.0,60,11,99,0,1,AI Researcher,In Progress,CAT
S01083,87,8.59,13,94,4,76,0,Software Engineer,In Progress,No exam
S01084,60,8.39,30,14,26,5,0,Software Engineer,Not Placed,No exam
S01085,86,7.45,54,16,29,46,0,Software Engineer,Not Placed,CAT
S01086,65,9.63,77,31,12,65,0,Business Analyst,Not Placed,GRE
S01087,77,5.98,86,65,63,82,0,Cybersecurity,In Progress,SkillsCert
S01088,83,7.87,35,37,91,73,0,Data Scientist,In Progress,CAT
S01089,70,6.44,33,55,23,55,0,Software Engineer,Not Placed,CAT
S01090,81,7.57,99,51,58,1,1,Cybersecurity,In Progress,GRE
S01091,100,7.76,63,19,60,77,0,Business Analyst,Not Placed,CAT
S01092,70,8.13,58,51,78,73,1,AI Researcher,In Progress,RRB-NTPC
S01093,82,6.7,12,60,52,61,0,Cloud Engineer,In Progress,No exam
S01094,87,8.17,50,96,94,93,0,Data Scientist,Placed,GRE
S01095,74,5.96,17,3,2,62,1,Cybersecurity,Not Placed,GRE
S01096,74,8.99,87,68,41,34,0,Software Engineer,In Progress,No exam
S01097,90,6.81,64,44,11,15,0,Data Scientist,Not Placed,CAT
S01098,74,8.23,58,84,75,33,1,Data Scientist,Placed,GRE
S01099,92,9.57,98,43,1,53,1,Data Scientist,Not Placed,GRE
S01100,86,9.43,6,87,17,57,1,AI Researcher,In Progress,No exam
S01101,87,9.34,5,79,69,80,0,Business Analyst,Placed,CAT
S01102,100,7.9,17,94,13,13,1,Data Scientist,In Progress,No exam
S01103,81,6.33,20,27,3,48,0,Cloud Engineer,Not Placed,No exam
S01104,65,7.1,5,49,74,56,1,Cloud Engineer,In Progress,GATE
S01105,77,9.65,47,31,6,100,1,Cloud Engineer,Not Placed,CAT
S01106,89,6.05,100,74,8,15,1,Data Scientist,Not Placed,GRE
S01107,97,5.31,33,45,86,60,0,AI Researcher,In Progress,SkillsCert
S01108,92,7.19,6,6,18,38,1,Cybersecurity,Not Placed,SkillsCert
S01109,87,5.1,33,82,77,20,1,Data Scientist,In Progress,RRB-NTPC
S01110,72,5.75,99,95,100,85,1,Business Analyst,Placed,GRE
S01111,61,5.38,48,50,78,8,5,Data Scientist,In Progress,SkillsCert
S01112,93,9.75,48,6,63,29,1,Software Engineer,In Progress,RRB-NTPC
S01113,95,9.06,24,86,88,13,0,Business Analyst,Placed,SkillsCert
S01114,84,7.17,60,17,5,51,1,AI Researcher,Not Placed,SkillsCert
S01115,96,5.37,69,51,100,30,1,Software Engineer,In Progress,No exam
S01116,75,5.95,48,82,87,43,0,Business Analyst,Placed,GATE
S01117,89,5.28,27,62,95,12,0,AI Researcher,In Progress,No exam
S01118,95,7.67,99,41,6,49,0,Cybersecurity,Not Placed,GATE
S01119,66,6.89,100,100,92,97,0,Data Scientist,Placed,SkillsCert
S01120,68,8.03,92,0,11,21,1,Software Engineer,Not Placed,CAT
S01121,94,5.49,52,16,53,19,1,AI Researcher,Not Placed,No exam
S01122,96,6.66,43,43,90,46,0,Business Analyst,In Progress,CAT
S01123,76,7.48,89,74,28,25,1,Business Analyst,In Progress,GATE
S01124,96,7.1,94,64,14,79,0,AI Researcher,Not Placed,GATE
S01125,63,9.43,37,51,49,72,1,Business Analyst,In Progress,GRE
